score,bollinger_up_distance_ratio,bollinger_down_distance_ratio,yesterday_noise,yesterday_range_ratio,target_ratio,today_open_price,current_price,current_high_price_ratio,current_low_price_ratio,result
17,4.68,31.4,0.92,4.71,-2.29,472.04,456.26,0.5,-3.34,LONG
59,6.39,24.51,0.7,4.17,2.02,470.74,481.06,2.19,-0.76,LONG
59,2.64,22.84,0.37,4.7,2.23,484.6,495.8,2.31,-0.6,SHORT
59,2.34,20.95,0.88,3.98,1.94,486.99,496.86,2.03,-1.16,LONG
17,0.6,21.93,0.48,5.47,-2.59,500.77,485.98,0.83,-2.95,SHORT
59,7.32,16.42,0.28,8.16,4.15,471.31,491.79,4.35,0.09,SHORT
-21,5.42,18.12,0.51,2.74,-1.33,486.2,479.56,0.16,-1.37,SHORT
59,7.93,15.68,0.47,3.87,1.94,476.29,486.45,2.13,-0.18,SHORT
-47,6.51,16.97,0.34,2.88,-1.39,485.41,478.32,0.99,-1.46,LONG
-55,8.35,15.16,0.6,3.53,-1.76,478.5,466.29,1.71,-2.55,SHORT
35,15.51,9.23,0.48,11.91,5.97,448.65,477.26,6.38,-0.32,LONG
59,5.55,16.0,0.11,10.82,4.7,492.09,517.02,5.07,-0.79,LONG
17,0.21,19.47,0.94,5.87,-2.86,528.96,512.39,1.14,-3.13,LONG
59,1.05,16.64,0.83,5.16,2.54,524.44,538.59,2.7,-2.31,LONG
17,0.52,21.66,0.87,4.91,-2.38,554.63,540.66,0.14,-2.52,LONG
17,0.69,24.13,0.57,5.84,-2.77,568.48,552.26,0.03,-2.85,LONG
59,2.54,22.83,0.61,4.37,2.17,558.87,571.72,2.3,-0.72,LONG
59,3.39,34.24,0.27,7.05,3.25,637.55,659.04,3.37,-1.17,SHORT
17,0.88,37.41,0.83,3.63,-1.77,653.54,641.07,0.48,-1.91,SHORT
59,5.9,35.6,0.24,3.71,1.87,635.21,647.62,1.95,-1.6,SHORT
-35,9.42,32.58,0.51,4.84,-2.31,628.17,613.19,0.97,-2.38,LONG
