score,bollinger_up_distance_ratio,bollinger_down_distance_ratio,yesterday_noise,yesterday_range_ratio,target_ratio,today_open_price,current_price,current_high_price_ratio,current_low_price_ratio,result
-31,32.37,4.14,0.36,6.43,3.24,2803.34,2897.47,3.36,-0.4,SHORT
23,29.66,7.06,0.73,6.03,2.88,2848.38,2945.0,3.39,-0.45,LONG
51,22.95,12.26,0.29,7.51,3.44,2999.45,3108.09,3.62,-0.86,LONG
17,8.41,23.08,0.79,4.41,-2.14,3418.21,3337.22,0.16,-2.37,LONG
59,9.23,22.29,0.81,5.01,2.47,3386.12,3474.67,2.62,-0.62,LONG
3,4.56,24.88,0.29,5.5,-2.58,3517.64,3424.0,0.7,-2.66,LONG
-29,5.47,27.2,0.86,2.83,-1.39,3577.65,3494.88,0.23,-2.31,SHORT
25,11.12,23.08,0.21,5.74,2.92,3415.01,3519.72,3.07,-1.03,LONG
-45,7.59,24.15,0.51,7.64,-3.55,3543.09,3407.0,-0.05,-3.84,LONG
-47,9.84,22.58,0.66,4.12,-2.04,3492.9,3417.55,1.17,-2.16,LONG
59,7.36,24.92,0.43,5.89,2.77,3610.24,3718.74,3.01,-0.52,LONG
59,3.11,28.33,0.56,4.69,2.24,3872.7,3965.02,2.38,-1.19,SHORT
59,5.47,26.87,0.78,4.61,2.28,3833.29,3924.5,2.38,-0.51,SHORT
-23,5.7,25.52,0.94,7.61,-3.65,3851.17,3703.53,1.15,-3.83,LONG
59,7.81,20.16,0.54,5.8,2.89,3748.1,3860.51,3.0,-0.29,LONG
59,3.39,19.52,0.16,4.22,2.0,3881.49,3962.07,2.08,-1.28,LONG
59,2.44,23.37,0.18,8.85,3.96,4164.13,4336.37,4.14,-0.7,SHORT
59,4.22,18.41,0.71,7.01,3.45,3975.55,4124.91,3.76,-0.73,LONG
-11,0.92,22.0,0.18,5.95,-2.76,4170.5,4047.19,0.4,-2.96,LONG
59,3.8,19.4,0.62,5.49,2.73,4084.6,4200.37,2.83,-0.28,LONG
17,1.84,21.86,0.17,4.13,-1.96,4224.13,4124.57,1.76,-2.36,LONG
59,4.97,19.69,0.58,5.08,2.53,4133.37,4247.76,2.77,-0.28,SHORT
59,10.72,14.69,0.5,10.14,5.07,3923.58,4136.36,5.42,-0.59,LONG
31,1.18,23.67,0.33,4.63,-2.2,4421.53,4313.07,0.19,-2.45,LONG
-17,3.86,20.27,0.54,4.71,-2.35,4324.82,4215.86,1.69,-2.52,LONG
-45,5.08,18.22,0.85,5.51,-2.7,4288.87,4167.0,0.91,-2.84,LONG
59,4.2,16.88,0.86,5.61,2.71,4322.72,4448.84,2.92,-0.8,LONG
17,0.64,20.97,0.94,4.79,-2.33,4606.59,4495.26,0.09,-2.42,LONG
-35,5.12,17.34,0.55,2.86,-1.43,4477.29,4411.3,0.86,-1.47,LONG
59,4.61,17.19,0.79,4.74,2.29,4521.7,4629.76,2.39,-0.36,SHORT
