score,bollinger_up_distance_ratio,bollinger_down_distance_ratio,yesterday_noise,yesterday_range_ratio,target_ratio,today_open_price,current_price,current_high_price_ratio,current_low_price_ratio,result
-41,4.76,17.01,0.9,4.41,-2.17,1.31,1.28,1.08,-2.32,LONG
3,2.36,22.01,0.91,5.26,-2.55,1.38,1.34,0.76,-2.78,LONG
59,2.99,22.42,0.83,4.45,2.16,1.39,1.42,2.37,-1.7,SHORT
59,3.22,23.03,0.76,4.66,2.25,1.4,1.44,2.56,-0.46,LONG
31,0.46,26.97,0.23,6.56,-3.03,1.47,1.43,1.49,-3.15,SHORT
59,4.58,23.22,0.47,6.07,3.04,1.43,1.47,3.17,-2.26,LONG
59,1.25,23.1,0.54,7.55,3.52,1.48,1.53,3.88,-1.15,LONG
59,6.47,33.95,0.17,16.65,6.82,1.68,1.81,7.67,-0.43,SHORT
59,4.43,42.74,0.8,10.73,4.99,1.83,1.93,5.28,-0.45,LONG
31,5.89,57.55,0.71,7.94,-3.74,2.19,2.1,2.84,-3.89,LONG
3,0.01,57.91,0.91,10.36,-4.97,2.17,2.05,1.27,-5.38,LONG
-17,8.0,55.49,0.37,7.07,-3.57,2.07,1.99,3.33,-3.88,SHORT
11,18.05,50.51,0.38,11.48,5.82,1.93,2.05,6.5,-2.09,LONG
59,10.65,53.56,0.39,15.5,6.62,2.11,2.26,7.15,-2.7,LONG
59,8.17,58.51,0.87,6.3,3.08,2.44,2.52,3.2,-0.06,LONG
59,1.9,61.99,0.07,11.86,5.07,2.71,2.86,5.49,-0.48,LONG
31,0.24,64.73,0.28,10.85,-4.79,2.92,2.77,0.97,-5.28,SHORT
-17,11.6,57.88,0.9,7.19,-3.45,2.74,2.64,1.71,-3.69,SHORT
31,21.35,50.49,0.34,11.64,5.93,2.53,2.69,6.38,-1.27,LONG
-23,11.43,49.51,0.44,6.08,-3.05,2.85,2.75,0.59,-3.47,LONG
45,16.24,38.67,0.29,5.81,2.94,2.74,2.82,3.04,-1.15,SHORT
59,14.84,35.92,0.81,6.62,3.17,2.77,2.86,3.27,-1.61,LONG
59,10.82,34.75,0.44,6.77,3.16,2.87,2.99,3.97,-1.19,SHORT
3,9.93,34.04,0.97,4.54,-2.22,2.97,2.89,0.11,-2.61,SHORT
45,15.25,28.84,0.22,5.7,2.9,2.84,2.92,3.02,-0.11,SHORT
-41,11.84,27.6,0.42,4.81,-2.29,2.91,2.84,0.56,-2.41,SHORT
-59,12.27,19.66,0.4,4.53,-2.27,2.84,2.65,1.48,-6.44,SHORT
-59,23.23,4.43,0.79,9.44,-4.42,2.52,2.4,2.66,-4.68,SHORT
11,30.57,0.41,0.57,12.48,6.19,2.38,2.55,6.89,-0.53,LONG
-59,19.81,8.13,0.81,10.98,-5.31,2.58,2.43,0.42,-5.78,SHORT
-17,29.86,4.74,0.98,4.97,2.43,2.4,2.46,2.74,-1.43,LONG
-59,24.31,8.98,0.52,9.39,-4.3,2.51,2.39,0.22,-4.53,LONG
-59,27.69,6.81,0.37,5.53,-2.79,2.42,2.35,0.91,-2.97,LONG
-3,30.82,5.85,0.5,5.42,2.71,2.35,2.42,2.84,-1.6,SHORT
-59,28.94,7.86,0.85,5.59,-2.7,2.37,2.31,1.06,-2.83,SHORT
-59,33.9,6.22,0.36,5.86,-2.95,2.28,2.2,0.44,-3.51,SHORT
-59,47.62,0.98,0.38,14.26,-7.26,2.08,1.91,6.84,-7.94,LONG
-17,54.4,0.55,0.71,15.35,7.44,1.99,2.15,8.1,-0.9,LONG
-5,25.57,14.6,0.58,7.38,-3.45,2.33,2.24,0.72,-3.69,LONG
59,25.65,12.69,0.83,12.15,5.84,2.28,2.42,6.23,-1.75,SHORT
-59,20.46,12.06,0.91,9.83,-4.64,2.3,2.18,-0.04,-5.26,LONG
-59,25.59,5.24,0.48,6.83,-3.42,2.13,2.05,2.05,-3.56,SHORT
