trade_date,score,bollinger_up_distance_ratio,bollinger_down_distance_ratio,yesterday_noise,yesterday_range_ratio,target_ratio,today_open_price,current_price,current_high_price_ratio,current_low_price_ratio,current_btc_rate,result
2021-07-04,59,28.0,22.23,0.49,4.99,2.38,140.12,143.66,2.53,-2.31,2.15,LONG
2021-07-05,-33,19.59,23.11,0.57,8.06,-3.75,144.98,139.21,-0.05,-3.98,-3.38,SHORT
2021-07-07,59,17.51,17.0,0.84,5.2,2.51,138.81,142.52,2.67,-1.33,1.56,SHORT
2021-07-08,-59,14.84,14.33,0.76,4.46,-2.2,137.33,134.16,0.16,-2.31,-1.59,SHORT
2021-07-09,-59,17.08,10.41,0.47,7.27,-3.64,132.07,126.92,0.05,-3.9,-1.57,LONG
2021-07-12,35,10.28,9.04,0.94,3.35,1.65,134.19,136.9,2.02,-0.48,0.17,SHORT
2021-07-14,-59,11.43,4.61,0.64,4.02,-2.0,131.34,128.32,0.3,-2.3,-0.72,LONG
2021-07-15,-59,11.73,4.66,0.96,6.78,-3.29,131.02,126.53,1.35,-3.43,-2.07,SHORT
2021-07-18,-17,23.85,0.92,0.87,4.41,2.17,119.91,122.72,2.34,-0.14,1.78,SHORT
2021-07-19,-59,25.23,0.52,0.9,6.65,-3.24,119.12,115.11,1.26,-3.37,-1.78,SHORT
2021-07-20,-59,32.12,1.83,0.32,7.53,-3.81,113.08,108.53,1.59,-4.02,-2.31,SHORT
2021-07-21,-17,39.84,3.43,0.48,9.98,5.0,107.23,113.29,5.65,-1.98,5.16,LONG
2021-07-24,-5,23.37,10.01,0.55,5.5,-2.61,120.6,117.27,1.22,-2.76,-0.44,LONG
2021-07-25,21,14.86,13.3,0.61,3.59,-1.74,125.93,123.61,0.29,-1.84,-0.92,LONG
2021-07-26,59,12.39,14.26,0.63,3.61,1.75,127.6,129.99,1.87,-0.47,1.07,LONG
2021-07-28,59,5.2,18.25,0.53,5.96,2.82,134.68,139.05,3.24,-1.6,1.05,LONG
2021-07-30,17,2.21,23.05,0.87,5.13,-2.48,141.39,137.74,1.68,-2.58,-2.88,LONG
2021-08-01,59,2.86,25.91,0.77,3.38,1.67,144.38,146.84,1.7,-0.82,0.64,SHORT
